"Protein","Placenta_19_R1_Core","Placenta_19_R1_STB","Placenta_19_R2_Core","Placenta_19_R2_STB","Placenta_19_R3_STB","Placenta_19_R5_Core","Placenta_19_R5_STB","Placenta_23_R1_Core","Placenta_23_R1_STB","Placenta_23_R2_Core","Placenta_23_R2_STB","Placenta_23_R3_Core","Placenta_23_R3_STB","Placenta_23_R4_Core","Placenta_23_R4_STB","Placenta_23_R5_Core","Placenta_23_R5_STB","Placenta_26_R1_Core","Placenta_26_R1_STB","Placenta_26_R2_Core","Placenta_26_R2_STB","Placenta_26_R3_Core","Placenta_26_R3_STB","Placenta_26_R4_STB","Placenta_26_R5_Core","Placenta_26_R5_STB"
"Protein21",0.0778826041445662,0.806782019607974,-0.0820857623214692,0.97114284336798,0.973288861562036,-1.00940621503243,1.3945472261162,-0.227909610442019,0.822834234784299,-0.634909143648628,1.20805419770073,-1.13742472726601,-0.138448252380964,-0.0677908130658444,0.862028318348449,-2.51214803582461,0.340279331340696,-0.113356429970683,0.302476825432095,-0.184056402335823,0.16228472279132,-0.302866131968111,0.300524986203236,0.736333438643118,-0.403273265289155,0.713501723995062
"Protein22",0.476221314980958,1.83832223839586,0.761045384685701,1.56622410539196,1.38594866811833,0.203016330767863,1.93770229030859,0.497148962669662,1.7024912184247,0.745412603754854,1.24856695615418,NA,1.08254420578674,0.70901949218684,1.49054638384033,-1.96205517859292,1.75263640545638,0.809887810233386,0.830544847905117,0.368044577950609,1.71853983115827,0.738247203429484,1.47459485761187,1.39553325073332,-0.0775878078745311,1.54587082411572
"Protein23",5.09343700423966,3.30877322065414,4.83583049070596,3.04259628676132,3.35568798296813,4.55949958995328,3.46954363671478,5.21664121383398,2.54803039807568,5.27205119236539,3.90413558363217,5.06194786742052,2.21306219512761,4.8010121944316,3.64446640123734,4.5225160718824,3.51578269672529,5.28133127748605,2.23398615387566,5.67746975635282,3.878475837663,5.45833512645587,3.51479162871812,3.21423973532977,5.20166370671511,3.16076425311135
"Protein24",1.10693936649167,1.98404351857719,0.860636737198526,1.93141442663586,1.52329192389467,0.427866074392172,2.28914845377273,0.971363073145771,2.01272248679122,0.725824402370868,2.04603850992515,1.37104914976882,1.9008910918197,1.32651128742878,1.74346737576234,0.411859883620561,2.21998721630314,1.40722316762379,1.99449378622321,1.26470591762851,2.05246029017219,1.27645184239233,1.89017812672935,1.88562544954047,0.725453985790704,1.9771464312315
"Protein25",8.1294001600435,7.18497135705401,8.41521405129617,7.32307689811176,7.52213215179187,7.98177774978983,8.05492291258095,9.05837596656207,7.59741681507279,7.73188946447303,7.65636800971539,8.24820020511186,7.09580164093493,8.18762099565595,7.6084562832343,7.69435804128239,7.41743027069672,8.38907659422469,7.21703924616554,8.39959874006072,7.99286993353353,8.34725169476475,7.38857675116707,7.42568546016189,8.37616712052314,7.53099438428127
"Protein26",8.1294001600435,7.18497135705401,8.41521405129617,7.32307689811176,7.52213215179187,7.98177774978983,8.05492291258095,9.05837596656207,7.59741681507279,7.73188946447303,7.65636800971539,8.24820020511186,7.09580164093493,8.18762099565595,7.6084562832343,7.69435804128239,7.41743027069672,8.38907659422469,7.21703924616554,8.39959874006072,7.99286993353353,8.34725169476475,7.38857675116707,7.42568546016189,8.37616712052314,7.53099438428127
"Protein27",NA,0.0165583854914413,NA,-0.304252656316908,-0.615631443322339,NA,0.481933679761447,NA,-0.0336903062915646,NA,0.0769697406314442,-1.76189988479503,-0.103666866132514,NA,-0.527627430341576,NA,-0.120932666093568,-1.40120985499876,-0.627072296831717,-1.86165181884592,-0.133193533435747,NA,-0.0433137214531474,-0.340845098557555,NA,-0.209450087673451
"Protein28",2.61644502022596,2.48895419530437,3.06450864113298,2.21285670545548,2.47217157698786,2.29757721949311,3.18339117222404,3.211651508229,2.5016705827872,2.61453414338819,2.38800941884739,2.32272180515352,2.30144309858143,2.33098688747449,2.32165602553976,2.46555522207107,2.66862173230904,2.95685497865422,2.22868815871012,3.29600978011242,2.97223446901617,2.97348119753435,2.65794348146294,2.88872663225814,2.94624801006133,2.80867733195946
"Protein29",1.74019334046569,1.82057301082684,2.56262852518524,1.56351259121818,1.35656364006065,1.92123475203726,2.85207175673377,3.05376173997163,2.00846467911468,2.18985797405269,1.51314871606393,1.78218608250729,1.38755230492621,1.68122832509702,1.76419574617826,1.75701001915838,1.63459560805373,2.42319559094795,1.75604176421163,2.7147481870267,2.35239969323128,2.39221960444863,2.14875740372403,2.24964918602351,2.47321070444777,1.85798852583641
"Protein30",1.66072390198119,2.48895419530437,3.11776793939064,2.22355766412404,2.19534203897365,2.57682817535574,3.15473188281158,3.211651508229,2.41361489337399,2.85734741960443,2.40813106134831,2.30025462195871,2.5188859600874,2.72945718790905,2.41949869351982,2.10460088683162,2.63606270930281,3.02842005745731,2.27021439344473,3.18224498565452,2.97063170723425,3.00942765927062,2.60593888617006,2.88872663225814,2.90055719741972,2.77195469207721
